iterations,recipe,numofagents,meanoptimalcount,meanoptimalkmin,meanoptimalkmax,gftformula,meanauctioncount,countratio,meanoptimalgft,meanauctiontotalgft,totalgftratio
50,[0- [1- None- 2- [3- None]]],2,0.94,26000.48,0.74,99.9923081301526,0.28,29.78723404255319,766.4850400609382,303.2502831660468,39.56375758383196
50,[0- [1- None- 2- [3- None]]],4,1.98,2001.1,1.34,99.90010488986564,1.14,57.57575757575758,1648.6907095486938,1248.177982800737,75.70722486465688
50,[0- [1- None- 2- [3- None]]],6,2.94,1.28,1.92,12.280701754385964,2.04,69.38775510204081,2637.822074202641,2253.372232066017,85.42548241231033
50,[0- [1- None- 2- [3- None]]],10,5.3,2.06,3.24,34.64052287581699,4.32,81.50943396226415,4909.243453222332,4670.320627211469,95.13320477406677
50,[0- [1- None- 2- [3- None]]],16,8.26,3.38,4.88,54.337899543379,7.28,88.13559322033899,7836.472866514373,7657.521483933927,97.71642950050764
50,[0- [1- None- 2- [3- None]]],26,13.2,5.62,7.58,69.78851963746223,12.42,94.0909090909091,12772.888792675894,12681.061535402225,99.28107682792692
50,[0- [1- None- 2- [3- None]]],50,24.78,11.4,13.38,83.87096774193549,23.9,96.44874899112189,24428.4873964158,24384.75255270519,99.82096786018349
50,[0- [1- None- 2- [3- None]]],100,50.24,23.14,27.1,91.71499585749793,49.42,98.36783439490446,49804.74673938272,49780.31735097917,99.95094967848871
50,[0- [1- None- 2- [3- None]]],500,248.86,120.8,128.06,98.35796387520529,247.9,99.61424093868038,247703.3831500769,247696.34418021448,99.99715830693434
50,[0- [1- None- 2- [3- None]]],1000,500.34,245.12,255.22,99.18738826588655,499.46,99.82411959867292,499934.497506605,499931.84399966453,99.99946922907827
50,[0- [1- None- 2- [3- None]]],2000,1001.72,492.48,509.24,99.59471508470457,1000.78,99.90616140238792,1004831.2941646564,1004830.0375513046,99.99987494285268
50,[0- [1- None- 2- [3- None]]],5000,2499.86,1238.84,1261.02,99.83868886307907,2499.12,99.97039834230715,2496399.645224391,2496399.324462749,99.99998715103001
