stock_name,recipe,num_possible_trades,optimal_count,optimal_count_with_gft_zero,optimal_gft,SBB_External_Competition_auction_count,SBB_External_Competition_auction_count,SBB_External_Competition_auction_count,SBB_External_Competition_auction_count,SBB_External_Competition_count_ratio,SBB_External_Competition_count_ratio,SBB_External_Competition_count_ratio,SBB_External_Competition_count_ratio,SBB_External_Competition_gft,SBB_External_Competition_gft,SBB_External_Competition_gft,SBB_External_Competition_gft,SBB_External_Competition_gft_ratio,SBB_External_Competition_gft_ratio,SBB_External_Competition_gft_ratio,SBB_External_Competition_gft_ratio,SBB_Ascending_Prices_auction_count,SBB_Ascending_Prices_auction_count,SBB_Ascending_Prices_auction_count,SBB_Ascending_Prices_auction_count,SBB_Ascending_Prices_count_ratio,SBB_Ascending_Prices_count_ratio,SBB_Ascending_Prices_count_ratio,SBB_Ascending_Prices_count_ratio,SBB_Ascending_Prices_gft,SBB_Ascending_Prices_gft,SBB_Ascending_Prices_gft,SBB_Ascending_Prices_gft,SBB_Ascending_Prices_gft_ratio,SBB_Ascending_Prices_gft_ratio,SBB_Ascending_Prices_gft_ratio,SBB_Ascending_Prices_gft_ratio,SBB_External_Competition_auction_count,SBB_External_Competition_auction_count,SBB_External_Competition_auction_count,SBB_External_Competition_auction_count,SBB_External_Competition_count_ratio,SBB_External_Competition_count_ratio,SBB_External_Competition_count_ratio,SBB_External_Competition_count_ratio,SBB_External_Competition_gft,SBB_External_Competition_gft,SBB_External_Competition_gft,SBB_External_Competition_gft,SBB_External_Competition_gft_ratio,SBB_External_Competition_gft_ratio,SBB_External_Competition_gft_ratio,SBB_External_Competition_gft_ratio,SBB_Ascending_Prices_auction_count,SBB_Ascending_Prices_auction_count,SBB_Ascending_Prices_auction_count,SBB_Ascending_Prices_auction_count,SBB_Ascending_Prices_count_ratio,SBB_Ascending_Prices_count_ratio,SBB_Ascending_Prices_count_ratio,SBB_Ascending_Prices_count_ratio,SBB_Ascending_Prices_gft,SBB_Ascending_Prices_gft,SBB_Ascending_Prices_gft,SBB_Ascending_Prices_gft,SBB_Ascending_Prices_gft_ratio,SBB_Ascending_Prices_gft_ratio,SBB_Ascending_Prices_gft_ratio,SBB_Ascending_Prices_gft_ratio,SBB_External_Competition_auction_count,SBB_External_Competition_auction_count,SBB_External_Competition_auction_count,SBB_External_Competition_auction_count,SBB_External_Competition_count_ratio,SBB_External_Competition_count_ratio,SBB_External_Competition_count_ratio,SBB_External_Competition_count_ratio,SBB_External_Competition_gft,SBB_External_Competition_gft,SBB_External_Competition_gft,SBB_External_Competition_gft,SBB_External_Competition_gft_ratio,SBB_External_Competition_gft_ratio,SBB_External_Competition_gft_ratio,SBB_External_Competition_gft_ratio,SBB_Ascending_Prices_auction_count,SBB_Ascending_Prices_auction_count,SBB_Ascending_Prices_auction_count,SBB_Ascending_Prices_auction_count,SBB_Ascending_Prices_count_ratio,SBB_Ascending_Prices_count_ratio,SBB_Ascending_Prices_count_ratio,SBB_Ascending_Prices_count_ratio,SBB_Ascending_Prices_gft,SBB_Ascending_Prices_gft,SBB_Ascending_Prices_gft,SBB_Ascending_Prices_gft,SBB_Ascending_Prices_gft_ratio,SBB_Ascending_Prices_gft_ratio,SBB_Ascending_Prices_gft_ratio,SBB_Ascending_Prices_gft_ratio,SBB_External_Competition_auction_count,SBB_External_Competition_auction_count,SBB_External_Competition_auction_count,SBB_External_Competition_auction_count,SBB_External_Competition_count_ratio,SBB_External_Competition_count_ratio,SBB_External_Competition_count_ratio,SBB_External_Competition_count_ratio,SBB_External_Competition_gft,SBB_External_Competition_gft,SBB_External_Competition_gft,SBB_External_Competition_gft,SBB_External_Competition_gft_ratio,SBB_External_Competition_gft_ratio,SBB_External_Competition_gft_ratio,SBB_External_Competition_gft_ratio,SBB_Ascending_Prices_auction_count,SBB_Ascending_Prices_auction_count,SBB_Ascending_Prices_auction_count,SBB_Ascending_Prices_auction_count,SBB_Ascending_Prices_count_ratio,SBB_Ascending_Prices_count_ratio,SBB_Ascending_Prices_count_ratio,SBB_Ascending_Prices_count_ratio,SBB_Ascending_Prices_gft,SBB_Ascending_Prices_gft,SBB_Ascending_Prices_gft,SBB_Ascending_Prices_gft,SBB_Ascending_Prices_gft_ratio,SBB_Ascending_Prices_gft_ratio,SBB_Ascending_Prices_gft_ratio,SBB_Ascending_Prices_gft_ratio
A,1:16,2,1,1,80.83,1,1,1,1,100.0,100.0,100.0,100.0,80.83,80.83,80.83,80.83,100.0,100.0,100.0,100.0,1,1,1,1,100.0,100.0,100.0,100.0,80.83,80.83,80.83,80.83,100.0,100.0,100.0,100.0,1,1,1,1,100.0,100.0,100.0,100.0,80.83,80.83,80.83,80.83,100.0,100.0,100.0,100.0,1,1,1,1,100.0,100.0,100.0,100.0,80.83,80.83,80.83,80.83,100.0,100.0,100.0,100.0,1,1,1,1,100.0,100.0,100.0,100.0,80.83,80.83,80.83,80.83,100.0,100.0,100.0,100.0,1,1,1,1,100.0,100.0,100.0,100.0,80.83,80.83,80.83,80.83,100.0,100.0,100.0,100.0,1,1,1,1,100.0,100.0,100.0,100.0,80.83,80.83,80.83,80.83,100.0,100.0,100.0,100.0,1,1,1,1,100.0,100.0,100.0,100.0,80.83,80.83,80.83,80.83,100.0,100.0,100.0,100.0
A,1:16,3,2,2,111.59,1,1,1,1,50.0,50.0,50.0,50.0,90.13,90.13,90.13,90.13,80.769,80.769,80.769,80.769,1,1,1,1,50.0,50.0,50.0,50.0,90.13,90.13,90.13,90.13,80.769,80.769,80.769,80.769,1,1,1,1,50.0,50.0,50.0,50.0,90.13,90.13,90.13,90.13,80.769,80.769,80.769,80.769,1,1,1,1,50.0,50.0,50.0,50.0,90.13,90.13,90.13,90.13,80.769,80.769,80.769,80.769,1,1,1,1,50.0,50.0,50.0,50.0,90.13,90.13,90.13,90.13,80.769,80.769,80.769,80.769,1,1,1,1,50.0,50.0,50.0,50.0,90.13,90.13,90.13,90.13,80.769,80.769,80.769,80.769,1,1,1,1,50.0,50.0,50.0,50.0,90.13,90.13,90.13,90.13,80.769,80.769,80.769,80.769,1,1,1,1,50.0,50.0,50.0,50.0,90.13,90.13,90.13,90.13,80.769,80.769,80.769,80.769
A,1:16,4,3,3,124.47,2,2,2,2,66.666,66.666,66.666,66.666,108.73,108.73,108.73,108.73,87.356,87.356,87.356,87.356,2,2,2,2,66.666,66.666,66.666,66.666,108.73,108.73,108.73,108.73,87.356,87.356,87.356,87.356,2,2,2,2,66.666,66.666,66.666,66.666,108.73,108.73,108.73,108.73,87.356,87.356,87.356,87.356,2,2,2,2,66.666,66.666,66.666,66.666,108.73,108.73,108.73,108.73,87.356,87.356,87.356,87.356,2,2,2,2,66.666,66.666,66.666,66.666,108.73,108.73,108.73,108.73,87.356,87.356,87.356,87.356,2,2,2,2,66.666,66.666,66.666,66.666,108.73,108.73,108.73,108.73,87.356,87.356,87.356,87.356,2,2,2,2,66.666,66.666,66.666,66.666,108.73,108.73,108.73,108.73,87.356,87.356,87.356,87.356,2,2,2,2,66.666,66.666,66.666,66.666,108.73,108.73,108.73,108.73,87.356,87.356,87.356,87.356
A,1:16,5,4,4,157.37,3,3,3,3,75.0,75.0,75.0,75.0,142.71,142.71,142.71,142.71,90.682,90.682,90.682,90.682,3,3,3,3,75.0,75.0,75.0,75.0,142.71,142.71,142.71,142.71,90.682,90.682,90.682,90.682,3,3,3,3,75.0,75.0,75.0,75.0,142.71,142.71,142.71,142.71,90.682,90.682,90.682,90.682,3,3,3,3,75.0,75.0,75.0,75.0,142.71,142.71,142.71,142.71,90.682,90.682,90.682,90.682,3,3,3,3,75.0,75.0,75.0,75.0,142.71,142.71,142.71,142.71,90.682,90.682,90.682,90.682,3,3,3,3,75.0,75.0,75.0,75.0,142.71,142.71,142.71,142.71,90.682,90.682,90.682,90.682,3,3,3,3,75.0,75.0,75.0,75.0,142.71,142.71,142.71,142.71,90.682,90.682,90.682,90.682,3,3,3,3,75.0,75.0,75.0,75.0,142.71,142.71,142.71,142.71,90.682,90.682,90.682,90.682
A,1:16,10,7,7,251.79,7,7,7,7,100.0,100.0,100.0,100.0,251.79,251.79,251.79,251.79,100.0,100.0,100.0,100.0,7,7,7,7,100.0,100.0,100.0,100.0,251.79,251.79,251.79,251.79,100.0,100.0,100.0,100.0,7,7,7,7,100.0,100.0,100.0,100.0,251.79,251.79,251.79,251.79,100.0,100.0,100.0,100.0,7,7,7,7,100.0,100.0,100.0,100.0,251.79,251.79,251.79,251.79,100.0,100.0,100.0,100.0,7,7,7,7,100.0,100.0,100.0,100.0,251.79,251.79,251.79,251.79,100.0,100.0,100.0,100.0,7,7,7,7,100.0,100.0,100.0,100.0,251.79,251.79,251.79,251.79,100.0,100.0,100.0,100.0,7,7,7,7,100.0,100.0,100.0,100.0,251.79,251.79,251.79,251.79,100.0,100.0,100.0,100.0,7,7,7,7,100.0,100.0,100.0,100.0,251.79,251.79,251.79,251.79,100.0,100.0,100.0,100.0
A,1:16,15,8,8,409.16,8,8,8,8,100.0,100.0,100.0,100.0,409.16,409.16,409.16,409.16,100.0,100.0,100.0,100.0,8,8,8,8,100.0,100.0,100.0,100.0,409.16,409.16,409.16,409.16,100.0,100.0,100.0,100.0,8,8,8,8,100.0,100.0,100.0,100.0,409.16,409.16,409.16,409.16,100.0,100.0,100.0,100.0,8,8,8,8,100.0,100.0,100.0,100.0,409.16,409.16,409.16,409.16,100.0,100.0,100.0,100.0,8,8,8,8,100.0,100.0,100.0,100.0,409.16,409.16,409.16,409.16,100.0,100.0,100.0,100.0,8,8,8,8,100.0,100.0,100.0,100.0,409.16,409.16,409.16,409.16,100.0,100.0,100.0,100.0,8,8,8,8,100.0,100.0,100.0,100.0,409.16,409.16,409.16,409.16,100.0,100.0,100.0,100.0,8,8,8,8,100.0,100.0,100.0,100.0,409.16,409.16,409.16,409.16,100.0,100.0,100.0,100.0
A,1:16,25,15,15,703.16,15,15,15,15,100.0,100.0,100.0,100.0,703.16,703.16,703.16,703.16,100.0,100.0,100.0,100.0,15,15,15,15,100.0,100.0,100.0,100.0,703.16,703.16,703.16,703.16,100.0,100.0,100.0,100.0,15,15,15,15,100.0,100.0,100.0,100.0,703.16,703.16,703.16,703.16,100.0,100.0,100.0,100.0,15,15,15,15,100.0,100.0,100.0,100.0,703.16,703.16,703.16,703.16,100.0,100.0,100.0,100.0,15,15,15,15,100.0,100.0,100.0,100.0,703.16,703.16,703.16,703.16,100.0,100.0,100.0,100.0,15,15,15,15,100.0,100.0,100.0,100.0,703.16,703.16,703.16,703.16,100.0,100.0,100.0,100.0,15,15,15,15,100.0,100.0,100.0,100.0,703.16,703.16,703.16,703.16,100.0,100.0,100.0,100.0,15,15,15,15,100.0,100.0,100.0,100.0,703.16,703.16,703.16,703.16,100.0,100.0,100.0,100.0
A,1:16,50,26,26,7354.09,25,25,25,25,96.153,96.153,96.153,96.153,7289.19,7289.19,7289.19,7289.19,99.117,99.117,99.117,99.117,25,25,25,25,96.153,96.153,96.153,96.153,7289.19,7289.19,7289.19,7289.19,99.117,99.117,99.117,99.117,25,25,25,25,96.153,96.153,96.153,96.153,7289.19,7289.19,7289.19,7289.19,99.117,99.117,99.117,99.117,25,25,25,25,96.153,96.153,96.153,96.153,7289.19,7289.19,7289.19,7289.19,99.117,99.117,99.117,99.117,25,25,25,25,96.153,96.153,96.153,96.153,7289.19,7289.19,7289.19,7289.19,99.117,99.117,99.117,99.117,25,25,25,25,96.153,96.153,96.153,96.153,7289.19,7289.19,7289.19,7289.19,99.117,99.117,99.117,99.117,25,25,25,25,96.153,96.153,96.153,96.153,7289.19,7289.19,7289.19,7289.19,99.117,99.117,99.117,99.117,25,25,25,25,96.153,96.153,96.153,96.153,7289.19,7289.19,7289.19,7289.19,99.117,99.117,99.117,99.117
A,1:16,100,53,53,31364.84,52,52,52,52,98.113,98.113,98.113,98.113,31137.1,31137.1,31137.1,31137.1,99.274,99.274,99.274,99.274,52,52,52,52,98.113,98.113,98.113,98.113,31137.1,31137.1,31137.1,31137.1,99.274,99.274,99.274,99.274,52,52,52,52,98.113,98.113,98.113,98.113,31137.1,31137.1,31137.1,31137.1,99.274,99.274,99.274,99.274,52,52,52,52,98.113,98.113,98.113,98.113,31137.1,31137.1,31137.1,31137.1,99.274,99.274,99.274,99.274,52,52,52,52,98.113,98.113,98.113,98.113,31137.1,31137.1,31137.1,31137.1,99.274,99.274,99.274,99.274,52,52,52,52,98.113,98.113,98.113,98.113,31137.1,31137.1,31137.1,31137.1,99.274,99.274,99.274,99.274,52,52,52,52,98.113,98.113,98.113,98.113,31137.1,31137.1,31137.1,31137.1,99.274,99.274,99.274,99.274,52,52,52,52,98.113,98.113,98.113,98.113,31137.1,31137.1,31137.1,31137.1,99.274,99.274,99.274,99.274
A,1:16,500,254,254,117872.64,254,254,254,254,100.0,100.0,100.0,100.0,117872.64,117872.64,117872.64,117872.64,100.0,100.0,100.0,100.0,254,254,254,254,100.0,100.0,100.0,100.0,117872.64,117872.64,117872.64,117872.64,100.0,100.0,100.0,100.0,254,254,254,254,100.0,100.0,100.0,100.0,117872.64,117872.64,117872.64,117872.64,100.0,100.0,100.0,100.0,254,254,254,254,100.0,100.0,100.0,100.0,117872.64,117872.64,117872.64,117872.64,100.0,100.0,100.0,100.0,254,254,254,254,100.0,100.0,100.0,100.0,117872.64,117872.64,117872.64,117872.64,100.0,100.0,100.0,100.0,254,254,254,254,100.0,100.0,100.0,100.0,117872.64,117872.64,117872.64,117872.64,100.0,100.0,100.0,100.0,254,254,254,254,100.0,100.0,100.0,100.0,117872.64,117872.64,117872.64,117872.64,100.0,100.0,100.0,100.0,254,254,254,254,100.0,100.0,100.0,100.0,117872.64,117872.64,117872.64,117872.64,100.0,100.0,100.0,100.0
